# Seed corpus for the local speculative n-gram model (core/src/ngram.rs).
#
# SOURCES (open-source):
#   jieba word frequency dictionary  (MIT License)
#     https://github.com/fxsjy/jieba
#   THUOCL — Tsinghua Open Chinese Lexicon  (Apache 2.0)
#     https://github.com/thunlp/THUOCL  — IT, food, diming (place names) only
#   pypinyin  (MIT License)
#     https://github.com/mozillazg/python-pinyin
#   Conversational supplement  (MIT, same as this repository)
#
# FORMAT: pinyin<TAB>hanzi[<TAB>weight]
#   weight 1–10 (log-scaled from jieba frequency, or rank-based for THUOCL)
#   no weight column = counted once
#   lines starting with '#' or blank lines are ignored
#
# Regenerate: python3 core/data/gen_corpus.py
#
# CHARACTER FREQUENCY SUPPLEMENT
# Single-char entries for characters that appear in many everyday phrases but are
# underweighted in jieba's standalone-word frequency (jieba is trained on news text
# where these characters mostly appear mid-compound, not as standalone words).
# With the single-char-only unigram policy in train_from_corpus, these entries are
# the *sole* source for the unigram distribution of the syllables listed here, so
# they must dominate any competing character.  Weights are set to beat the highest-
# weight single-char jieba entry for the same syllable by a comfortable margin.
#
# Reference: Junda and Pinard (2006) character frequency study; cross-checked with
# Jun Da's Modern Chinese Character Frequency List (freely available).
xie	谢	15
bei	北	15
sheng	生	15
guo	国	15
jing	京	15

le	了	10
shi	是	10
zai	在	10
bu	不	9
de	的	9
he	和	9
ren	人	9
ta	他	9
wei	为	9
wo	我	9
ye	也	9
you	有	9
da	大	8
dao	到	8
dao	道	8
de	得	8
deng	等	8
di	地	8
dou	都	8
dui	对	8
er	而	8
hai	还	8
jiu	就	8
lai	来	8
ni	你	8
nian	年	8
shang	上	8
shuo	说	8
ta	她	8
yao	要	8
yi	一	8
yi	以	8
yige	一个	8
you	又	8
yu	与	8
zhe	着	8
zhe	这	8
zhi	之	8
zhong	中	8
zhongguo	中国	8
ba	把	7
bei	被	7
bing	并	7
chu	出	7
cong	从	7
dan	但	7
duo	多	7
fazhan	发展	7
ge	个	7
gei	给	7
gongzuo	工作	7
guo	过	7
guojia	国家	7
hao	好	7
hen	很	7
hou	后	7
hui	会	7
huo	或	7
jiang	将	7
kan	看	7
ke	可	7
keyi	可以	7
li	里	7
meiyou	没有	7
na	那	7
neng	能	7
qi	其	7
qian	前	7
qu	去	7
que	却	7
ri	日	7
shi	使	7
shi	时	7
suo	所	7
ta	它	7
tamen	他们	7
women	我们	7
xia	下	7
xiang	向	7
xiang	想	7
xin	新	7
yi	已	7
yong	用	7
you	由	7
yu	于	7
yue	月	7
zhege	这个	7
zhi	只	7
ziji	自己	7
zui	最	7
ai	爱	6
baba	爸爸	6
beijing	北京	6
ben	本	6
bi	比	6
bian	便	6
buneng	不能	6
bushi	不是	6
butong	不同	6
cai	才	6
ceng	曾	6
cheng	成	6
chengwei	成为	6
chi	吃	6
chulai	出来	6
ci	此	6
da	打	6
da	达	6
daibiao	代表	6
dang	当	6
danshi	但是	6
diannao	电脑	6
difang	地方	6
diqu	地区	6
fen	分	6
fu	副	6
gai	该	6
gao	高	6
ge	各	6
gen	跟	6
geng	更	6
gongsi	公司	6
guanxi	关系	6
guo	国	6
hao	号	6
hua	话	6
hubei	湖北	6
huiyi	会议	6
ji	即	6
ji	及	6
jia	家	6
jian	见	6
jiao	叫	6
jiao	较	6
jingji	经济	6
jinxing	进行	6
jishu	技术	6
jueding	决定	6
kai	开	6
kaishi	开始	6
keneng	可能	6
lao	老	6
liang	两	6
liangge	两个	6
lingdao	领导	6
lishi	历史	6
mama	妈妈	6
mei	没	6
meiguo	美国	6
men	们	6
men	门	6
mi	米	6
ne	呢	6
nei	内	6
nv	女	6
qi	起	6
qilai	起来	6
qingkuang	情况	6
qiye	企业	6
qizhong	其中	6
quanguo	全国	6
rang	让	6
renmin	人民	6
renwei	认为	6
ru	如	6
ruguo	如果	6
san	三	6
shanghai	上海	6
shehui	社会	6
sheng	省	6
shengchan	生产	6
shenghuo	生活	6
shenme	什么	6
shi	事	6
shi	市	6
shihou	时候	6
shijian	时间	6
shijie	世界	6
shishou	石首	6
shou	手	6
shouji	手机	6
si	死	6
suoyi	所以	6
tian	天	6
tiananmen	天安门	6
ting	听	6
tong	同	6
tongguo	通过	6
tongshi	同时	6
tou	头	6
wai	外	6
wan	万	6
weixin	微信	6
wen	问	6
wenhua	文化	6
wenti	问题	6
wu	无	6
xiang	像	6
xianzai	现在	6
xiao	小	6
xiao	笑	6
xiexie	谢谢	6
xihuan	喜欢	6
xuesheng	学生	6
xueyuan	学院	6
yanjiu	研究	6
yiban	一般	6
yiji	以及	6
yijing	已经	6
yin	因	6
yinwei	因为	6
